======================================================================
  课题003 — 尺寸标注提取报告
  文件: /storage/emulated/0/Download/篮筐整改/CAD_Master/05_自动化/训练记录/晴碧园晶园26栋_解析.json
======================================================================

  标注总数: 118
  标注样式: ['HG-60', 'HG-70', 'HG-80']
  图层: ['W-尺寸']

  📐 方向分布:
    纵向 (垂直距离): 74个
    横向 (水平距离): 44个

  🔄 旋转角度:
    0.0°: 74个
    90.0°: 44个

  📏 量程: 120mm ~ 20500mm
  常见尺寸:
    200mm: 43次
    3700mm: 9次
    1800mm: 4次
    120mm: 3次
    300mm: 3次
    900mm: 2次
    1700mm: 2次
    3900mm: 2次
    4300mm: 2次
    4500mm: 2次

  🏷️ 图层检查:
    ❌ 118个标注不在标准图层
       'W-尺寸': 118个标注

  📋 所有标注明细:
    编号 │ 方向           │ 线方向    │      测量值(mm) │ 样式         │ 图层        
    61 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-80      │ W-尺寸      
    62 │ 纵向 (垂直距离)    │ 水平     │         5150 │ HG-80      │ W-尺寸      
    63 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-80      │ W-尺寸      
    64 │ 纵向 (垂直距离)    │ 水平     │        19900 │ HG-80      │ W-尺寸      
    65 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-80      │ W-尺寸      
    66 │ 横向 (水平距离)    │ 垂直     │         3350 │ HG-80      │ W-尺寸      
    67 │ 横向 (水平距离)    │ 垂直     │         5850 │ HG-80      │ W-尺寸      
    68 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-80      │ W-尺寸      
    69 │ 横向 (水平距离)    │ 垂直     │         9800 │ HG-80      │ W-尺寸      
    70 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    71 │ 纵向 (垂直距离)    │ 水平     │         1600 │ HG-70      │ W-尺寸      
    72 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    73 │ 纵向 (垂直距离)    │ 水平     │         3700 │ HG-70      │ W-尺寸      
    74 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    75 │ 纵向 (垂直距离)    │ 水平     │         4600 │ HG-70      │ W-尺寸      
    76 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    77 │ 纵向 (垂直距离)    │ 水平     │         4200 │ HG-70      │ W-尺寸      
    78 │ 纵向 (垂直距离)    │ 水平     │        17900 │ HG-70      │ W-尺寸      
    79 │ 横向 (水平距离)    │ 垂直     │          900 │ HG-70      │ W-尺寸      
    80 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
    81 │ 横向 (水平距离)    │ 垂直     │         3480 │ HG-70      │ W-尺寸      
    82 │ 横向 (水平距离)    │ 垂直     │          120 │ HG-70      │ W-尺寸      
    83 │ 横向 (水平距离)    │ 垂直     │         5200 │ HG-70      │ W-尺寸      
    84 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
    85 │ 横向 (水平距离)    │ 垂直     │        10100 │ HG-70      │ W-尺寸      
    86 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    87 │ 纵向 (垂直距离)    │ 水平     │         3500 │ HG-70      │ W-尺寸      
    88 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    89 │ 纵向 (垂直距离)    │ 水平     │         3700 │ HG-70      │ W-尺寸      
    90 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    91 │ 纵向 (垂直距离)    │ 水平     │         1500 │ HG-70      │ W-尺寸      
    92 │ 纵向 (垂直距离)    │ 水平     │          120 │ HG-70      │ W-尺寸      
    93 │ 纵向 (垂直距离)    │ 水平     │         2680 │ HG-70      │ W-尺寸      
    94 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    95 │ 纵向 (垂直距离)    │ 水平     │         3700 │ HG-70      │ W-尺寸      
    96 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
    97 │ 纵向 (垂直距离)    │ 水平     │        17900 │ HG-70      │ W-尺寸      
    98 │ 横向 (水平距离)    │ 垂直     │         1865 │ HG-70      │ W-尺寸      
    99 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
   100 │ 横向 (水平距离)    │ 垂直     │         4300 │ HG-70      │ W-尺寸      
   101 │ 横向 (水平距离)    │ 垂直     │         3700 │ HG-70      │ W-尺寸      
   102 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
   103 │ 横向 (水平距离)    │ 垂直     │         1800 │ HG-70      │ W-尺寸      
   104 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
   105 │ 横向 (水平距离)    │ 垂直     │        10400 │ HG-70      │ W-尺寸      
   106 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-80      │ W-尺寸      
   107 │ 纵向 (垂直距离)    │ 水平     │         1800 │ HG-80      │ W-尺寸      
   108 │ 纵向 (垂直距离)    │ 水平     │          200 │ HG-70      │ W-尺寸      
   109 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
   110 │ 横向 (水平距离)    │ 垂直     │         3100 │ HG-70      │ W-尺寸      
   111 │ 纵向 (垂直距离)    │ 水平     │         2800 │ HG-70      │ W-尺寸      
   112 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-80      │ W-尺寸      
   113 │ 横向 (水平距离)    │ 垂直     │         2865 │ HG-70      │ W-尺寸      
   114 │ 横向 (水平距离)    │ 垂直     │          200 │ HG-70      │ W-尺寸      
   115 │ 纵向 (垂直距离)    │ 水平     │          300 │ HG-70      │ W-尺寸      
   116 │ 纵向 (垂直距离)    │ 水平     │         1400 │ HG-70      │ W-尺寸      
   117 │ 纵向 (垂直距离)    │ 水平     │          120 │ HG-70      │ W-尺寸      
   118 │ 纵向 (垂直距离)    │ 水平     │         2480 │ HG-70      │ W-尺寸      

======================================================================
  报告结束
======================================================================
